policy_number,months_insured,has_claims,items_insured,claim_reference,insured_name,policy_start_date,date_of_loss,date_reported,claim_status,loss_type,paid_amount,total_incurred,claim_propensity,broker_id
POL1756,63,FALSE,2,,"Thomas, Sanchez and Anthony",2023-08-16,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1757,50,FALSE,5,,Pierce-Herrera,2023-11-24,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1758,29,TRUE,10,CLM1758,"Carlson, English and Griffin",2020-05-16,2020-09-01,2020-09-06,Open,Theft,21726.23,30280.15,0.9,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1759,104,TRUE,9,CLM1759,Holt PLC,2022-03-14,2022-05-10,2022-05-24,Pending,Property Damage,48598.86,72030.07,0.31,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1760,7,TRUE,1,CLM1760,Jacobs-Mckinney,2020-04-27,2020-07-11,2020-07-25,Pending,Theft,10626.47,13797.75,0.44,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1761,6,FALSE,7,,Fernandez and Sons,2021-03-18,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1762,106,TRUE,3,CLM1762,Price-Hunt,2021-06-02,2022-01-07,2022-01-31,Closed,Fire,4769.26,8052.94,0.12,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1763,99,FALSE,8,,Anthony-Stewart,2023-02-03,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1764,41,TRUE,3,CLM1764,Williams and Sons,2021-11-21,2022-07-28,2022-08-06,Pending,Fire,1378.5,20928.3,0.6,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1765,34,TRUE,7,CLM1765,"Guerra, Bradford and Ellis",2022-07-29,2022-11-15,2022-11-16,Open,Water Damage,43231.69,49767.22,0.13,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1766,88,TRUE,1,CLM1766,Mason-Barker,2021-04-20,2021-05-30,2021-06-26,Closed,Theft,32856.88,47310.8,0.76,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1767,59,FALSE,6,,Cervantes-Allison,2020-10-07,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1768,97,TRUE,5,CLM1768,"Mcconnell, Russo and Cruz",2021-01-12,2022-01-10,2022-01-16,Pending,Property Damage,43390.87,52523.6,0.34,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1769,104,TRUE,4,CLM1769,Stafford LLC,2022-04-20,2022-09-02,2022-09-05,Open,Fire,2925.65,23463.15,0.33,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1770,8,TRUE,10,CLM1770,Hines PLC,2020-04-05,2020-12-14,2020-12-24,Open,Theft,24724.72,38898.83,0.36,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1771,51,FALSE,2,,"Hansen, Parker and Nolan",2023-09-27,,,,,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1772,107,FALSE,2,,Brooks-Shah,2022-03-15,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1773,86,FALSE,4,,Barber Ltd,2023-06-05,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1774,73,TRUE,5,CLM1774,Hunter Inc,2023-05-04,2024-04-10,2024-04-16,Closed,Fire,32218.62,45559.44,0.15,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1775,86,TRUE,1,CLM1775,"Aguilar, Rivera and Quinn",2022-03-24,2022-12-30,2023-01-23,Pending,Theft,36224.3,54889.68,0.72,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1776,95,TRUE,3,CLM1776,"Vang, Santana and Young",2022-11-28,2023-08-03,2023-08-26,Pending,Fire,2928.93,24850.95,0.88,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1777,86,FALSE,3,,Kramer Ltd,2020-10-11,,,,,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1778,17,TRUE,6,CLM1778,Davis-Chapman,2021-05-07,2021-10-14,2021-10-24,Pending,Water Damage,35660.04,54079.06,0.79,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1779,28,FALSE,9,,Mckinney-Barton,2021-09-15,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1780,2,FALSE,9,,"Dunlap, Nielsen and Schmidt",2020-08-25,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1781,26,TRUE,9,CLM1781,Ramirez and Sons,2023-08-16,2024-05-02,2024-05-30,Pending,Liability,12915.72,23320.14,0.38,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1782,91,FALSE,2,,Garza and Sons,2021-06-28,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1783,77,TRUE,9,CLM1783,Anderson and Sons,2020-03-08,2020-05-29,2020-06-12,Closed,Fire,4120.2,11618.01,0.01,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1784,38,TRUE,1,CLM1784,Crawford-Turner,2020-07-20,2020-10-05,2020-10-18,Open,Fire,15855.15,20359.75,0.85,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1785,89,TRUE,8,CLM1785,"Jensen, Harris and Taylor",2020-09-19,2020-12-09,2020-12-20,Open,Water Damage,44999.53,47124.04,0.13,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1786,11,FALSE,3,,"Russell, Farley and Gonzalez",2020-08-28,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1787,116,FALSE,10,,"Smith, Medina and Castillo",2021-08-16,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1788,12,TRUE,5,CLM1788,Campos Ltd,2020-09-24,2020-12-14,2020-12-27,Closed,Property Damage,15018.94,35865.47,0.54,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1789,80,TRUE,7,CLM1789,Miller-Cortez,2021-06-21,2021-10-07,2021-10-30,Closed,Property Damage,21999.01,25522.45,0.89,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1790,120,FALSE,5,,"Phelps, Delacruz and Conner",2020-12-11,,,,,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1791,43,TRUE,6,CLM1791,"Walker, Shannon and Holloway",2021-07-16,2022-04-20,2022-05-17,Pending,Property Damage,27169.54,47202.62,0.45,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1792,99,TRUE,4,CLM1792,"Ray, Smith and Martinez",2022-06-21,2023-04-01,2023-04-08,Open,Liability,12571.19,27555.61,0.29,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1793,100,FALSE,4,,Ryan-Gordon,2021-03-07,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1794,67,TRUE,1,CLM1794,Santiago Group,2023-02-06,2023-06-29,2023-07-16,Pending,Fire,21527.39,27980.15,0.47,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1795,33,TRUE,4,CLM1795,Beck-Ramos,2023-05-07,2024-01-02,2024-02-01,Closed,Water Damage,15235.89,23006.39,0.83,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1796,46,TRUE,4,CLM1796,"Walsh, Hill and Zimmerman",2021-09-30,2022-09-15,2022-09-27,Pending,Property Damage,25581.46,35953.95,0.58,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1797,12,TRUE,1,CLM1797,Bailey LLC,2021-11-03,2022-07-18,2022-08-12,Open,Fire,11360.34,16094.24,0.71,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1798,112,FALSE,1,,Ryan-Costa,2021-08-21,,,,,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1799,17,TRUE,7,CLM1799,Mitchell Group,2022-11-25,2023-02-15,2023-03-05,Open,Water Damage,4396.85,23037.15,0.91,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
