policy_number,months_insured,has_claims,items_insured,claim_reference,policy_start_date,date_of_loss,date_reported,claim_status,loss_type,paid_amount,reserve_amount,total_incurred,broker_id
POL1178,38,TRUE,6,CLM1178,2022-08-31,2023-07-02,2023-07-10,Open,Property Damage,47799.3,19221.94,67021.24,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1179,77,TRUE,3,CLM1179,2021-02-10,2022-01-24,2022-02-10,Pending,Theft,32875.99,7494.99,40370.98,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1180,1,FALSE,3,,2021-06-06,,,,,0,0,0,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1181,21,TRUE,6,CLM1181,2023-07-21,2024-02-14,2024-02-22,Closed,Theft,37236.99,9545,46781.99,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1182,9,FALSE,1,,2022-09-26,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1183,54,TRUE,5,CLM1183,2022-06-02,2023-04-01,2023-04-13,Pending,Liability,20125.99,22138.3,42264.29,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1184,111,TRUE,10,CLM1184,2023-11-11,2024-10-20,2024-10-27,Pending,Water Damage,16262.42,22622.57,38884.99,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1185,100,TRUE,6,CLM1185,2022-10-27,2023-05-31,2023-06-22,Open,Property Damage,14538.07,1721.77,16259.84,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1186,101,TRUE,5,CLM1186,2020-02-26,2020-11-12,2020-12-12,Pending,Liability,2512.3,14951.81,17464.11,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1187,10,FALSE,1,,2020-01-01,,,,,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1188,30,TRUE,7,CLM1188,2022-08-12,2023-01-19,2023-01-27,Open,Water Damage,7950.94,22015.31,29966.25,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1189,111,TRUE,3,CLM1189,2023-08-08,2024-01-04,2024-01-25,Closed,Water Damage,28904.31,10037.96,38942.27,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1190,46,FALSE,1,,2020-10-02,,,,,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1191,112,TRUE,3,CLM1191,2023-05-02,2023-06-29,2023-07-26,Pending,Liability,6619.86,9051.98,15671.84,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1192,75,FALSE,8,,2020-04-02,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1193,81,TRUE,7,CLM1193,2021-07-21,2021-10-11,2021-11-08,Pending,Water Damage,21592.33,4635.98,26228.31,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1194,26,TRUE,8,CLM1194,2023-07-29,2024-01-28,2024-02-06,Closed,Water Damage,7668.89,7628.02,15296.91,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1195,58,FALSE,4,,2023-12-04,,,,,0,0,0,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1196,12,FALSE,7,,2020-03-31,,,,,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1197,39,TRUE,6,CLM1197,2023-03-23,2024-02-21,2024-03-19,Pending,Fire,11299.08,10585.7,21884.78,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1198,10,FALSE,5,,2023-04-12,,,,,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1199,3,TRUE,3,CLM1199,2021-11-16,2022-05-13,2022-06-05,Closed,Water Damage,22692.63,4544.67,27237.3,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
