policy_number,months_insured,has_claims,items_insured,claim_reference,insured_name,date_of_loss,date_reported,claim_status,loss_type,paid_amount,reserve_amount,total_incurred,claim_propensity,broker_id
POL1963,90,FALSE,5,,"Heath, Benitez and Acosta",,,,,0,0,0,0,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1964,86,TRUE,1,CLM1964,Fernandez and Sons,2021-02-22,2021-03-08,Closed,Fire,16366.37,19639,36005.37,0.09,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1965,105,TRUE,3,CLM1965,Blair-Henderson,2021-01-22,2021-02-08,Closed,Fire,37629.2,3753.19,41382.39,0.67,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1966,118,TRUE,7,CLM1966,Miller PLC,2023-10-04,2023-10-26,Pending,Fire,44645.29,19676.49,64321.78,0.11,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1967,77,TRUE,4,CLM1967,Cross PLC,2023-06-05,2023-06-19,Closed,Property Damage,30666.03,8170.33,38836.36,0.13,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1968,106,TRUE,4,CLM1968,Davis Group,2023-09-16,2023-09-18,Closed,Theft,39674.38,15856.04,55530.42,0.63,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1969,42,FALSE,4,,Rice-Nguyen,,,,,0,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1970,23,TRUE,6,CLM1970,"Armstrong, Long and Parker",2022-09-11,2022-10-11,Closed,Property Damage,41349.02,22346.57,63695.59,0.77,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1971,13,FALSE,5,,"Steele, Hernandez and Sullivan",,,,,0,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1972,101,FALSE,8,,Moss-Dunlap,,,,,0,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1973,78,TRUE,3,CLM1973,"Brooks, Smith and Thomas",2022-02-12,2022-02-21,Closed,Property Damage,25353.72,18799.69,44153.41,0.35,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1974,1,TRUE,10,CLM1974,"Maldonado, Clark and Leach",2022-03-17,2022-03-27,Open,Fire,21458.22,13551.01,35009.23,0.45,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1975,79,TRUE,2,CLM1975,Wilson Group,2022-03-13,2022-03-27,Pending,Liability,29701.16,5914.31,35615.47,0.39,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1976,5,FALSE,4,,"Webb, Martinez and Church",,,,,0,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1977,72,TRUE,6,CLM1977,Brennan and Sons,2022-08-18,2022-09-08,Pending,Property Damage,41846.86,23806.91,65653.77,0.36,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1978,24,TRUE,2,CLM1978,"Bell, Burgess and Gonzalez",2024-05-19,2024-05-28,Closed,Water Damage,11820.98,13039.04,24860.02,0.45,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1979,110,FALSE,7,,"Davis, Mcguire and Thomas",,,,,0,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1980,94,FALSE,7,,Flores-Walters,,,,,0,0,0,0,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1981,92,TRUE,10,CLM1981,"Lambert, Sanchez and Lloyd",2023-12-30,2024-01-26,Pending,Theft,32136.28,2728.16,34864.44,0.02,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1982,101,TRUE,8,CLM1982,Bernard Group,2021-11-20,2021-12-04,Open,Water Damage,22622.8,24258.19,46880.99,0.63,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1983,117,TRUE,6,CLM1983,"Kelly, Little and Hall",2020-10-08,2020-10-30,Closed,Liability,44407.9,11929.87,56337.77,0.87,3e857a0f-1dbe-4025-a287-29f3e7fd926d
POL1984,44,TRUE,10,CLM1984,Burch Group,2023-03-09,2023-03-19,Closed,Water Damage,46397.25,1647.87,48045.12,0.18,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1985,29,TRUE,10,CLM1985,"Nelson, Marsh and Gillespie",2023-09-24,2023-10-17,Pending,Water Damage,25296.59,24052.15,49348.74,0.99,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1986,95,TRUE,10,CLM1986,Garner LLC,2020-11-29,2020-12-13,Open,Water Damage,20375.36,22198.69,42574.05,0.78,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1987,29,TRUE,6,CLM1987,"Miller, Rogers and Butler",2022-02-03,2022-02-22,Pending,Liability,29483.91,665.6,30149.51,0.19,69fc20d0-9aa6-4ad0-a0a0-1a9f7a9a20de
POL1988,60,FALSE,2,,"Adams, Rios and Daugherty",,,,,0,0,0,0,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1989,19,TRUE,8,CLM1989,"White, Wood and Sampson",2024-06-20,2024-07-02,Open,Fire,30664.15,1035.26,31699.41,0.84,957fbded-8264-40c0-9c86-4b3b55b2c2a7
POL1990,23,FALSE,3,,"Walters, Jackson and Gonzalez",,,,,0,0,0,0,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1991,104,FALSE,3,,"Bishop, Jones and Mitchell",,,,,0,0,0,0,84591ab3-0b42-489e-b1b1-57dd877d9e2c
POL1992,7,FALSE,1,,"Gregory, Scott and Johnson",,,,,0,0,0,0,e2f0c7c9-c59d-4a67-9b6b-503442bc7c52
POL1993,18,TRUE,5,CLM1993,"Moore, Jackson and Sullivan",2024-03-08,2024-03-24,Closed,Property Damage,9356.01,7981.93,17337.94,0.47,b2a5ef1c-1e59-48e8-893e-2cd32a1985dc
POL1994,90,TRUE,5,CLM1994,"Dunn, Gonzalez and Levy",2023-06-23,2023-07-01,Pending,Theft,15468.56,21570.45,37039.01,0.79,f16d5b5a-7f08-4725-b5c0-2d30d7fdd962
POL1995,89,TRUE,6,CLM1995,"Daniels, Mathews and Lopez",2021-02-24,2021-03-16,Open,Water Damage,4888.32,5427.71,10316.03,0.23,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1996,111,TRUE,6,CLM1996,"Barrett, Watkins and Nixon",2023-08-13,2023-09-12,Closed,Property Damage,46600.51,22105.19,68705.7,0.91,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
POL1997,99,TRUE,1,CLM1997,Diaz-Wise,2022-01-28,2022-02-01,Pending,Fire,8086.82,23989.09,32075.91,0.45,2a7b4e70-0d33-4f8e-9f77-41c7b6dced98
POL1998,72,FALSE,9,,Barnes and Sons,,,,,0,0,0,0,1d758682-cf2b-4b67-bfa6-f4a42b1e2620
POL1999,103,FALSE,8,,Booth-Perez,,,,,0,0,0,0,4c9016d3-b681-4ad4-998f-6d09bbfbb21f
